origen,destino,peso
Fernández,Segegob,1
Fernández,Ximena Ossandón,2
Gabriel Boric,Gustavo Benavente,1
Gabriel Boric,Luis Cordero,2
Gabriel Boric,"PS).""Durante",1
Gabriel Boric,Patricio Aylwin,3
Gabriel Boric,Presupuesto,2
Gabriel Boric,Radio Duna,1
Gabriel Boric,Segegob,1
Gustavo Benavente,Isabel Allende,2
Gustavo Benavente,Luis Cordero,1
Gustavo Benavente,Mandatario,1
Gustavo Benavente,Marcela Sandoval,1
Gustavo Benavente,Maya Fernández,2
Gustavo Benavente,"PS).""Durante",1
Gustavo Benavente,Partido Republicano,2
Gustavo Benavente,Patricio Aylwin,1
Gustavo Benavente,Presidente,2
Gustavo Benavente,Presidente Boric,1
Gustavo Benavente,Presupuesto,1
Gustavo Benavente,Radio Duna,1
Gustavo Benavente,Salvador Allende,2
Gustavo Benavente,Segegob,1
Gustavo Benavente,Ximena Ossandón,2
Isabel Allende,Luis Cordero,1
Isabel Allende,"PS).""Durante",1
Isabel Allende,Partido Republicano,9
Isabel Allende,Patricio Aylwin,1
Isabel Allende,Presidente,29
Isabel Allende,Presupuesto,2
Isabel Allende,Radio Duna,1
Isabel Allende,Segegob,1
Isabel Allende,Ximena Ossandón,1
Luis Cordero,Mandatario,2
Luis Cordero,Marcela Sandoval,1
Luis Cordero,Maya Fernández,1
Luis Cordero,"PS).""Durante",1
Luis Cordero,Partido Republicano,1
Luis Cordero,Patricio Aylwin,1
Luis Cordero,Presidente,1
Luis Cordero,Presidente Boric,1
Luis Cordero,Presupuesto,1
Luis Cordero,Radio Duna,1
Luis Cordero,Salvador Allende,1
Luis Cordero,Segegob,1
Luis Cordero,Ximena Ossandón,1
Mandatario,Maya Fernández,8
Mandatario,"PS).""Durante",1
Mandatario,Patricio Aylwin,2
Mandatario,Presupuesto,2
Mandatario,Radio Duna,1
Mandatario,Segegob,1
Marcela Sandoval,"PS).""Durante",1
Marcela Sandoval,Partido Republicano,3
Marcela Sandoval,Patricio Aylwin,2
Marcela Sandoval,Presidente,11
Marcela Sandoval,Presupuesto,1
Marcela Sandoval,Radio Duna,1
Marcela Sandoval,Segegob,1
Marcela Sandoval,Ximena Ossandón,1
Maya Fernández,"PS).""Durante",1
Maya Fernández,Partido Republicano,8
Maya Fernández,Patricio Aylwin,3
Maya Fernández,Presidente,31
Maya Fernández,Presidente Boric,7
Maya Fernández,Presupuesto,2
Maya Fernández,Radio Duna,1
Maya Fernández,Segegob,1
Maya Fernández,Ximena Ossandón,2
"PS).""Durante",Partido Republicano,1
"PS).""Durante",Patricio Aylwin,1
"PS).""Durante",Presidente,1
"PS).""Durante",Presidente Boric,1
"PS).""Durante",Presupuesto,1
"PS).""Durante",Radio Duna,1
"PS).""Durante",Salvador Allende,1
"PS).""Durante",Segegob,1
"PS).""Durante",Ximena Ossandón,1
Partido Republicano,Patricio Aylwin,1
Partido Republicano,Presidente Boric,2
Partido Republicano,Presupuesto,1
Partido Republicano,Radio Duna,1
Partido Republicano,Segegob,1
Patricio Aylwin,Presidente,4
Patricio Aylwin,Presidente Boric,1
Patricio Aylwin,Presupuesto,1
Patricio Aylwin,Radio Duna,1
Patricio Aylwin,Salvador Allende,3
Patricio Aylwin,Segegob,1
Patricio Aylwin,Ximena Ossandón,1
Presidente,Presidente Boric,17
Presidente,Presupuesto,2
Presidente,Radio Duna,1
Presidente,Segegob,1
Presidente Boric,Presupuesto,1
Presidente Boric,Radio Duna,1
Presidente Boric,Segegob,1
Presidente Boric,Ximena Ossandón,1
Presupuesto,Radio Duna,1
Presupuesto,Salvador Allende,2
Presupuesto,Segegob,1
Presupuesto,Ximena Ossandón,1
Radio Duna,Salvador Allende,1
Radio Duna,Segegob,1
Radio Duna,Ximena Ossandón,1
Salvador Allende,Segegob,1
Segegob,Ximena Ossandón,1
Antonia) Orellana,Camila Musante,1
Antonia) Orellana,Carabineros,1
Antonia) Orellana,Carla Morales,1
Antonia) Orellana,Carolina Tohá,1
Antonia) Orellana,Comisión Investigadora,1
Antonia) Orellana,Cristina Vilches,1
Antonia) Orellana,Eduardo Cerna,1
Antonia) Orellana,Ejecutivo,1
Antonia) Orellana,Estado,1
Antonia) Orellana,Gobierno feminista,1
Antonia) Orellana,Gobierno.,1
Antonia) Orellana,IND.-UDI,1
Antonia) Orellana,Inteligencia,1
Antonia) Orellana,Joanna Pérez,1
Antonia) Orellana,Manuel Monsalve,1
Antonia) Orellana,Marcelo Araya,1
Antonia) Orellana,Marlene Pérez,1
Antonia) Orellana,Miguel Mellado,1
Antonia) Orellana,Monsalve,1
Antonia) Orellana,Partido Social Cristiano,1
Antonia) Orellana,Policía e Investigaciones,1
Antonia) Orellana,Roberto Arroyo,1
Camila Musante,Carabineros,1
Camila Musante,Carla Morales,2
Camila Musante,Carolina Tohá,1
Camila Musante,Comisión Investigadora,1
Camila Musante,Cristina Vilches,1
